Lat,lng,time
34.06872168,-118.44894573,1487967702052
34.06872484,-118.44893418,1487967703053
34.06872674,-118.44892195,1487967704042
34.06872627,-118.44890632,1487967705054
34.06872372,-118.44889399,1487967706066
34.06872198,-118.44888196,1487967707051
34.06872282,-118.44886492,1487967708050
34.06872217,-118.44884707,1487967709047
34.06872202,-118.44883085,1487967710048
34.06872427,-118.44881499,1487967711049
34.06872724,-118.4487972,1487967712054
34.06873087,-118.44878194,1487967713059
34.06873532,-118.44876667,1487967714056
34.06873841,-118.44874971,1487967715050
34.06874097,-118.44873428,1487967716053
34.06874468,-118.44871568,1487967717053
34.06874919,-118.44869482,1487967718061
34.06875361,-118.44867739,1487967719058
34.06875826,-118.44866011,1487967720189
34.06876259,-118.44864444,1487967721044
34.06876677,-118.4486292,1487967722063
34.06877034,-118.44861475,1487967723051
34.06877426,-118.44860064,1487967724052
34.06877708,-118.44858518,1487967725052
34.06877911,-118.44856829,1487967726055
34.06878302,-118.44854845,1487967727043
34.06878502,-118.44853311,1487967728054
34.06878752,-118.44851724,1487967729050
34.06879212,-118.44850435,1487967730363
34.06879821,-118.44848788,1487967731038
34.06880344,-118.44847285,1487967732041
34.06880897,-118.44846181,1487967733058
34.06881488,-118.44844898,1487967734032
34.06882093,-118.44843757,1487967735038
34.06882901,-118.44843052,1487967736120
34.0688385,-118.44841874,1487967737059
34.0688412,-118.44840387,1487967738054
34.06884376,-118.44839647,1487967739034
34.06884387,-118.44839716,1487967740017
34.06884387,-118.44839742,1487967741036
34.06884182,-118.44840015,1487967742027
34.06884074,-118.44840158,1487967743017
34.06884016,-118.44840235,1487967744050
34.06883986,-118.44840273,1487967745035
34.0688397,-118.44840291,1487967746014
34.06883962,-118.44840298,1487967747021
34.06883955,-118.44840303,1487967748040
34.06883951,-118.44840307,1487967749035
34.06883947,-118.44840311,1487967750022
34.06883943,-118.44840314,1487967751034
34.06883936,-118.44840319,1487967752032
34.06883931,-118.44840324,1487967753043
34.06883925,-118.44840328,1487967754042
34.0688392,-118.44840329,1487967755044
34.06883817,-118.44839835,1487967756027
34.06884013,-118.44838686,1487967757047
34.06883988,-118.44837057,1487967758064
34.06884236,-118.44835757,1487967759061
34.06884348,-118.44834513,1487967760063
34.06884152,-118.44832956,1487967761062
34.06883805,-118.44831333,1487967762043
34.06883539,-118.448297,1487967763035
34.06883411,-118.4482815,1487967764057
34.0688334,-118.44826602,1487967765063
34.06883234,-118.44825036,1487967766051
34.06883071,-118.44823388,1487967767047
34.06883269,-118.44822332,1487967768061
34.06883399,-118.44821385,1487967769055
34.06883359,-118.4482084,1487967770050
34.06882894,-118.44819725,1487967771062
34.06882309,-118.44818466,1487967772065
34.06882163,-118.44817986,1487967773059
34.06881392,-118.44817309,1487967774047
34.06880725,-118.44816456,1487967775059
34.06880942,-118.44815602,1487967776069
34.06881867,-118.44813782,1487967777074
34.06882501,-118.44812565,1487967778075
34.06883339,-118.44811384,1487967779051
34.06883446,-118.4480964,1487967780968
34.06883436,-118.44807742,1487967781049
34.06883118,-118.44805867,1487967782036
34.06882822,-118.4480353,1487967783083
34.06882852,-118.44801354,1487967784058
34.06882754,-118.44800006,1487967785057
34.06882616,-118.44798823,1487967786055
34.0688256,-118.44797554,1487967787054
34.06882115,-118.44795351,1487967788044
34.06881801,-118.44793558,1487967789057
34.06882003,-118.44792326,1487967790078
34.06882221,-118.44790903,1487967791063
34.06882495,-118.44789235,1487967792048
34.06882307,-118.44787496,1487967793039
34.06882516,-118.44786152,1487967794032
34.06882358,-118.44785334,1487967795048
34.06882497,-118.44783523,1487967796041
